Image_ID,Duration,Frame_Type,Condition_Tested,Ground_Truth,VLM_Prediction,VLM_Extracted
20260420_054228_frame_0000,5min,menu,location_detectable,0,1,savanna
20260420_054228_frame_0000,5min,menu,action_described,1,1,viewing the crafting recipe for an acacia pressure plate
20260420_054228_frame_0000,5min,menu,entities_identified,0,1,1 entity/entities detected
20260420_054228_frame_0000,5min,menu,player_status_described,1,1,"full health and hunger, no armor"
20260420_054228_frame_0001,5min,menu,location_detectable,0,1,forest
20260420_054228_frame_0001,5min,menu,action_described,1,1,crafting acacia planks from acacia logs
20260420_054228_frame_0001,5min,menu,entities_identified,0,1,1 entity/entities detected
20260420_054228_frame_0001,5min,menu,player_status_described,1,1,"full health, full hunger, no armor"
20260420_054228_frame_0002,5min,gameplay,location_detectable,1,1,grassy field
20260420_054228_frame_0002,5min,gameplay,action_described,1,1,looking at a block of grass on the ground
20260420_054228_frame_0002,5min,gameplay,entities_identified,1,0,0 entity/entities detected
20260420_054228_frame_0002,5min,gameplay,player_status_described,1,1,"full health, 9.5 hunger, holding a wooden axe"
20260420_054228_frame_0003,5min,gameplay,location_detectable,1,1,grassy field
20260420_054228_frame_0003,5min,gameplay,action_described,1,1,preparing to place acacia planks
20260420_054228_frame_0003,5min,gameplay,entities_identified,1,1,2 entity/entities detected
20260420_054228_frame_0003,5min,gameplay,player_status_described,1,1,full health and hunger
20260420_054228_frame_0004,5min,gameplay,location_detectable,1,1,savanna biome
20260420_054228_frame_0004,5min,gameplay,action_described,1,1,placing acacia wood planks to build a structure
20260420_054228_frame_0004,5min,gameplay,entities_identified,1,1,8 entity/entities detected
20260420_054228_frame_0004,5min,gameplay,player_status_described,1,1,full health and hunger
20260420_054228_frame_0005,5min,gameplay,location_detectable,1,1,grassy field near water
20260420_054228_frame_0005,5min,gameplay,action_described,1,1,building a structure with acacia planks
20260420_054228_frame_0005,5min,gameplay,entities_identified,1,1,3 entity/entities detected
20260420_054228_frame_0005,5min,gameplay,player_status_described,1,1,full health and hunger
20260420_054228_frame_0006,5min,gameplay,location_detectable,1,1,grassy field at night
20260420_054228_frame_0006,5min,gameplay,action_described,1,1,placing acacia wood planks to build a structure
20260420_054228_frame_0006,5min,gameplay,entities_identified,1,1,2 entity/entities detected
20260420_054228_frame_0006,5min,gameplay,player_status_described,1,1,full health and hunger
20260420_054228_frame_0007,5min,gameplay,location_detectable,1,1,dark grassy field
20260420_054228_frame_0007,5min,gameplay,action_described,1,1,building a structure with dark wood planks
20260420_054228_frame_0007,5min,gameplay,entities_identified,1,1,3 entity/entities detected
20260420_054228_frame_0007,5min,gameplay,player_status_described,1,1,full health and hunger
20260420_054228_frame_0008,5min,gameplay,location_detectable,1,1,"savanna biome, building a wooden structure"
20260420_054228_frame_0008,5min,gameplay,action_described,1,1,placing acacia wood planks to build a structure
20260420_054228_frame_0008,5min,gameplay,entities_identified,1,1,3 entity/entities detected
20260420_054228_frame_0008,5min,gameplay,player_status_described,1,1,"full health, nearly full hunger, holding acacia wood planks"
20260420_054228_frame_0009,5min,gameplay,location_detectable,1,1,"savanna biome, building a wooden structure"
20260420_054228_frame_0009,5min,gameplay,action_described,1,1,standing on a wooden wall overlooking the savanna
20260420_054228_frame_0009,5min,gameplay,entities_identified,1,1,8 entity/entities detected
20260420_054228_frame_0009,5min,gameplay,player_status_described,1,1,"full health, full hunger, no armor"
20260420_054228_frame_0010,5min,gameplay,location_detectable,1,1,"near a river and hills at night, standing next to a large wooden structure"
20260420_054228_frame_0010,5min,gameplay,action_described,1,1,standing still and looking at a large wooden surface
20260420_054228_frame_0010,5min,gameplay,entities_identified,1,1,4 entity/entities detected
20260420_054228_frame_0010,5min,gameplay,player_status_described,1,1,"full health, nearly full hunger, empty hotbar slot selected"
20260420_054228_frame_0011,5min,menu,location_detectable,0,1,dark environment
20260420_054228_frame_0011,5min,menu,action_described,1,1,"viewing the recipe book in the inventory, hovering over Acacia Planks"
20260420_054228_frame_0011,5min,menu,entities_identified,0,1,1 entity/entities detected
20260420_054228_frame_0011,5min,menu,player_status_described,1,1,"10 hearts, 8.5 hunger, no armor"
20260420_054228_frame_0012,5min,menu,location_detectable,0,1,dark environment
20260420_054228_frame_0012,5min,menu,action_described,1,1,crafting acacia planks from acacia logs in the inventory menu
20260420_054228_frame_0012,5min,menu,entities_identified,0,1,2 entity/entities detected
20260420_054228_frame_0012,5min,menu,player_status_described,1,1,full health and hunger
20260420_054228_frame_0013,5min,gameplay,location_detectable,1,1,savanna biome near water
20260420_054228_frame_0013,5min,gameplay,action_described,1,1,selecting or placing acacia planks
20260420_054228_frame_0013,5min,gameplay,entities_identified,1,1,3 entity/entities detected
20260420_054228_frame_0013,5min,gameplay,player_status_described,1,1,"full health, nearly full hunger, no armor"
20260420_054228_frame_0014,5min,gameplay,location_detectable,1,1,inside a wooden structure at night
20260420_054228_frame_0014,5min,gameplay,action_described,1,1,building or placing wooden planks
20260420_054228_frame_0014,5min,gameplay,entities_identified,1,1,7 entity/entities detected
20260420_054228_frame_0014,5min,gameplay,player_status_described,1,1,full health and hunger
20260420_054228_frame_0015,5min,gameplay,location_detectable,1,1,inside a wooden structure
20260420_054228_frame_0015,5min,gameplay,action_described,1,1,looking out from a wooden shelter
20260420_054228_frame_0015,5min,gameplay,entities_identified,1,1,4 entity/entities detected
20260420_054228_frame_0015,5min,gameplay,player_status_described,1,1,"full health and hunger, holding a wooden pickaxe"
20260420_054228_frame_0016,5min,gameplay,location_detectable,1,1,inside a wooden structure
20260420_054228_frame_0016,5min,gameplay,action_described,1,1,standing inside a wooden building looking at a wall
20260420_054228_frame_0016,5min,gameplay,entities_identified,1,1,3 entity/entities detected
20260420_054228_frame_0016,5min,gameplay,player_status_described,1,1,"full health, nearly full hunger"
20260420_054228_frame_0017,5min,gameplay,location_detectable,1,1,inside a wooden structure
20260420_054228_frame_0017,5min,gameplay,action_described,1,1,looking up while holding spruce planks
20260420_054228_frame_0017,5min,gameplay,entities_identified,1,1,2 entity/entities detected
20260420_054228_frame_0017,5min,gameplay,player_status_described,1,1,full health and hunger
20260420_054228_frame_0018,5min,menu,location_detectable,0,1,dark cave
20260420_054228_frame_0018,5min,menu,action_described,1,1,managing inventory and viewing crafting recipes
20260420_054228_frame_0018,5min,menu,entities_identified,0,1,1 entity/entities detected
20260420_054228_frame_0018,5min,menu,player_status_described,1,1,"full health, 9.5 hunger, no armor"
20260420_054228_frame_0019,5min,menu,location_detectable,0,1,dark interior
20260420_054228_frame_0019,5min,menu,action_described,1,1,selecting a crafting table from the hotbar
20260420_054228_frame_0019,5min,menu,entities_identified,0,1,2 entity/entities detected
20260420_054228_frame_0019,5min,menu,player_status_described,1,1,full health and hunger
20260420_054228_frame_0020,5min,menu,location_detectable,0,1,crafting menu
20260420_054228_frame_0020,5min,menu,action_described,1,1,crafting acacia doors
20260420_054228_frame_0020,5min,menu,entities_identified,0,1,9 entity/entities detected
20260420_054228_frame_0020,5min,menu,player_status_described,1,1,full health and hunger
20260420_054228_frame_0021,5min,gameplay,location_detectable,1,1,dark wooden room
20260420_054228_frame_0021,5min,gameplay,action_described,1,1,preparing to place a door inside a small wooden structure
20260420_054228_frame_0021,5min,gameplay,entities_identified,1,1,2 entity/entities detected
20260420_054228_frame_0021,5min,gameplay,player_status_described,1,1,full health and hunger
20260420_054228_frame_0022,5min,gameplay,location_detectable,1,1,inside a wooden shelter
20260420_054228_frame_0022,5min,gameplay,action_described,1,1,looking at a dirt block inside the shelter
20260420_054228_frame_0022,5min,gameplay,entities_identified,1,1,4 entity/entities detected
20260420_054228_frame_0022,5min,gameplay,player_status_described,1,1,full health and hunger
20260420_054228_frame_0023,5min,menu,location_detectable,0,1,inside a small wooden hut
20260420_054228_frame_0023,5min,menu,action_described,1,1,standing inside a small wooden structure near a crafting table
20260420_054228_frame_0023,5min,menu,entities_identified,0,1,4 entity/entities detected
20260420_054228_frame_0023,5min,menu,player_status_described,1,1,full health and hunger
20260420_054228_frame_0024,5min,menu,location_detectable,0,1,inside a small wooden shelter
20260420_054228_frame_0024,5min,menu,action_described,1,1,standing inside a wooden room next to a crafting table
20260420_054228_frame_0024,5min,menu,entities_identified,0,1,3 entity/entities detected
20260420_054228_frame_0024,5min,menu,player_status_described,1,1,"full health and hunger, no armor"
20260420_054228_frame_0025,5min,gameplay,location_detectable,1,1,inside a dark wooden structure looking out
20260420_054228_frame_0025,5min,gameplay,action_described,1,1,switched to wooden sword
20260420_054228_frame_0025,5min,gameplay,entities_identified,1,1,1 entity/entities detected
20260420_054228_frame_0025,5min,gameplay,player_status_described,1,1,"10 hearts, 10 hunger, holding a wooden sword"
20260420_054228_frame_0026,5min,gameplay,location_detectable,1,1,inside a dark wooden structure
20260420_054228_frame_0026,5min,gameplay,action_described,1,1,looking up at a wooden ceiling
20260420_054228_frame_0026,5min,gameplay,entities_identified,1,0,0 entity/entities detected
20260420_054228_frame_0026,5min,gameplay,player_status_described,1,1,full health and hunger
20260420_054228_frame_0027,5min,gameplay,location_detectable,1,1,dark interior
20260420_054228_frame_0027,5min,gameplay,action_described,1,1,selecting acacia planks
20260420_054228_frame_0027,5min,gameplay,entities_identified,1,0,0 entity/entities detected
20260420_054228_frame_0027,5min,gameplay,player_status_described,1,1,full health and hunger
20260420_054228_frame_0028,5min,menu,location_detectable,0,1,inside a dark wooden structure
20260420_054228_frame_0028,5min,menu,action_described,1,1,breaking a crafting table with a wooden axe
20260420_054228_frame_0028,5min,menu,entities_identified,0,1,2 entity/entities detected
20260420_054228_frame_0028,5min,menu,player_status_described,1,1,full health and hunger
20260420_054228_frame_0029,5min,gameplay,location_detectable,1,1,inside a building looking out at a lake
20260420_054228_frame_0029,5min,gameplay,action_described,1,1,looking out through an open door
20260420_054228_frame_0029,5min,gameplay,entities_identified,1,0,0 entity/entities detected
20260420_054228_frame_0029,5min,gameplay,player_status_described,1,1,"full health and hunger, holding a wooden axe"
20260420_054228_frame_0030,5min,gameplay,location_detectable,1,1,grassy riverbank at night
20260420_054228_frame_0030,5min,gameplay,action_described,1,1,holding a wooden sword near a placed jungle plank block
20260420_054228_frame_0030,5min,gameplay,entities_identified,1,1,3 entity/entities detected
20260420_054228_frame_0030,5min,gameplay,player_status_described,1,1,full health and hunger
20260420_054228_frame_0031,5min,gameplay,location_detectable,1,1,grassy field near water
20260420_054228_frame_0031,5min,gameplay,action_described,1,1,"standing in a field, looking at a block outline"
20260420_054228_frame_0031,5min,gameplay,entities_identified,1,0,0 entity/entities detected
